ProblemID,TestID,ProblemTypeID,Accuracy,MainText,ChoiceText1,ChoiceText2,ChoiceText3,ChoiceText4,SolvingTimeAvg,SolvingTimeStd
P0000001,T0000001,건축계획,0.25462408,"1. 기업체가 자사제품의 홍보, 판매 촉진 등을 위해 제품 및 기업에 관한 자료를 소비자들에게 직접 호소하여 제품의 우위성을 인식시키는 전시공간은?",①?쇼룸,②?런드리,③?프로시니엄,④?인포메이션,108.1373095,18.38466369
P0000002,T0000001,건축계획,0.825799555,2. 사무소 건축의 실단위 계획 중 개실 시스템에 관한 설명으로 옳지 않은 것은?,①?공사비가 저렴하다.,②?독립성과 쾌적감이 높다.,③?방길이에 변화를 줄 수 있다.,④?방깊이에 변화를 줄 수 없다.,109.7510116,3.692331702
P0000003,T0000001,건축계획,0.576838605,3. 주택단지계획에서 보차분리의 형태 중 평면분리에 해당하지 않는 것은?,①?T자형,②?루프(loop),③?쿨데삭(Cul-de-Sac),④?오버브리지(overbridge),35.71864031,4.046591213
P0000004,T0000001,건축계획,0.577007637,4. 도서관의 출납 시스템 유형 중 이용자가 자유롭게 도서를 꺼낼 수 있으나 열람석으로 가기 전에 관원의 검열을 받는 형식은?,①?폐가식,②?반개가식,③?자유개가식,④?안전개가식,132.1956738,41.1892408
P0000005,T0000001,건축계획,0.575250223,5. 단독주택에서 다음과 같은 실들을 각각 직상층 및 직하층에 배치할 경우 가장 바람직하지 않은 것은?,"①?상층: 침실, 하층: 침실","②?상층: 부엌, 하층: 욕실","③?상층: 욕실, 하층: 침실","④?상층: 욕실, 하층: 부엌",53.13512651,8.521691095
P0000006,T0000001,건축계획,0.39391885,6. 다음 중 백화점 매장의 기둥간격 결정 요소와 가장 거리가 먼 것은?,①?엘리베이터의 배치방법,②?진열장의 치수와 배치방법,③?지하주차장 주차방식과 주차 폭,④?층별 매장 구성과 예상 이용 인원,53.46343978,5.357934784
P0000007,T0000001,건축계획,0.460177019,7. 학교 운영방식에 관한 설명으로 옳지 않은 것은?,①?종합교실형은 초등학교 저학년에 권장되는 방식이다.,②?교과교실형은 교실의 이용률은 높으나 순수율은 낮다.,③?달톤형은 학급과 학년을 없애고 각자의 능력에 따라 교과를 선택하는 방식이다.,"④?플라툰형은 전 학급을 2분단으로 나누어 한 쪽이 일반 교실을 사용할 때, 다른 쪽은 특별교실을 사용한다.",69.03811366,22.30341105
P0000008,T0000001,건축계획,0.207938015,8. 종합병원에서 클로즈드 시스템(closed system)의 외래진료부에 관한 설명으로 옳지 않은 것은?,①?내과는 소규모 진료실을 다수 설치하도록 한다.,②?환자의 이용이 편리하도록 1층 또는 2층 이하에 둔다.,"③?중앙주사실, 회계, 약국 등은 정면출입구 근처에 설치한다.",④?전체병원에 대한 외래진료부의 면적비율은 40~45% 정도로 한다.,40.57349319,1.978515518
P0000009,T0000001,건축계획,0.828257439,9. 공장 건축의 레이아웃(layout)에 관한 설명으로 옳지 않은 것은?,①?제품중심의 레이아웃은 대량생산에 유리하며 생산성이 높다.,②?레이아웃은 장래 공장규모의 변화에 대응한 융통성에 있어야 한다.,③?공정중심의 레이아웃은 다품종 소량생산이나 주문생산에 적합한 형식이다.,"④?고정식 레이아웃은 기능이 동일하거나 유사한 공정, 기계를 접합하여 배치하는 방식이다.",48.20645869,6.221804408
P0000010,T0000001,건축계획,0.365486414,10. 극장건축의 관련 제실에 관한 설명으로 옳지 않은 것은?,①?앤티 룸(anti room)은 출연자들이 출연 바로 직전에 기다리는 공간이다.,②?그린 룸(green room)은 출연자 대기실을 말하며 주로 무대 가까운 곳에 배치한다.,"③?배경제작실의 위치는 무대에 가까울수록 편리하며, 제작 중의 소음을 고려하여 차음 설비가 요구된다.","④?의상실은 실의 크기가 1인당 최소 8m2이 필요하며, 그린 룸이 있는 경우 무대와 동일한 층에 배치하여야 한다.",91.50418418,22.89678229
P0000011,T0000001,건축계획,0.079863273,11. 상점의 동선계획에 관한 설명으로 옳지 않은 것은?,①?고객동선은 가능한 길게 한다.,②?직원동선은 가능한 짧게 한다.,③?상품동선과 직원동선은 동일하게 처리한다.,④?고객 출입구와 상품 반입/출 출입구는 분리하는 것이 좋다.,83.73043647,10.79525796
P0000012,T0000001,건축계획,0.390346419,12. 건축공간의 치수계획에서 “압박감을 느끼지 않을 만큼의 천장 높이 결정”은 다음 중 어디에 해당하는가?,①?물리적 스케일,②?생리적 스케일,③?심리적 스케일,④?입면적 스케일,112.4108426,32.3698063
P0000013,T0000001,건축계획,0.795250013,13. 고대 로마 건축물 중 판테온(Pantheon)에 관한 설명으로 옳지 않은 것은?,①?로툰다 내부는 드럼과 돔 두 부분으로 구성된다.,②?직사각형의 입구 공간은 외부와 내부 사이의 전이공간으로 사용된다.,③?드럼 하부는 깊은 니치와 독립된 도리아식 기둥들로 동적인 공간을 구현한다.,④?거대한 돔을 얹은 로툰다와 대형 열주 현관이라는 2가지 주된 구성 요소로 이루어진다.,98.84636987,12.86714864
P0000014,T0000001,건축계획,0.69007253,14. 극장의 평면형식 중 오픈 스테이지(open stage)형에 관한 설명으로 옳은 것은?,①?연기자가 남측 방향으로만 관객을 대하게 된다.,"②?강연, 음악회, 독주, 연극 공연에 가장 적합한 형식이다.",③?가장 일반적인 극장의 형식으로 어떠한 배경이라도 창출이 가능하다.,④?무대와 객석이 동일공간에 있는 것으로 관객석이 무대의 대부분을 둘러싸고 있다.,58.69609641,11.70100654
P0000015,T0000001,건축계획,0.584179485,15. 다음 설명에 알맞는 사무소 건축의 코어 유형은?,①?편심형,②?독립형,③?분리형,④?중심형,120.1091847,24.82539794
P0000016,T0000001,건축계획,0.557358874,16. 조선시대에 田자형 주택으로 대별되는 서민주택의 지방 유형은?,①?서울지방형,②?남부지방형,③?중부지방형,④?함경도지방형,30.57973684,7.535494877
P0000017,T0000001,건축계획,0.677918358,17. 메조넷형(Maisonette Type) 아파트에 관한 설명으로 옳지 않은 것은?,"①?설비, 구조적인 해결이 유리하며 경제적이다.",②?통로가 없는 층의 평면은 프라이버시 확보에 유리하다.,③?통로가 없는 층의 평면은 화재 발생 시 대피 상 문제점이 발생할 수 있다.,④?엘리베이터 정지층 및 통로 면적의 감소로 전용면적의 극대화를 도모할 수 있다.,43.08238307,3.312357437
P0000018,T0000001,건축계획,0.990696393,18. 고딕 성당에 관한 설명으로 옳지 않은 것은?,①?중앙집중식 배치를 지배적으로 사용하였다.,②?건축 형태에서 수직성을 강하게 강조하였다.,"③?고딕 성당으로는 랭스 성당, 아미앵 성당 등이 있다.",④?수평 방향으로 통일되고 연속적인 공간을 만들었다.,33.69296236,8.154909775
P0000019,T0000001,건축계획,0.751777419,19. 단독주택의 평면계획에 관한 설명으로 옳지 않은 것은?,①?거실은 평면계획상 통로나 홀로 사용하지 않는 것이 좋다.,"②?현관의 위치는 대지의 형태, 도로와의 관계 등에 의하여 결정된다.",③?부엌은 주택의 서측이나 동측이 좋으며 남향은 피하는 것이 좋다.,"④?노인침실은 일조가 충분하고 전망이 좋은 조용한 곳에 면하게 하고 식당, 욕실 등에 근접시킨다.",88.4056164,29.55972193
P0000020,T0000001,건축계획,0.089443454,20. 다음 중 호텔의 성격상 연면적에 대한 숙박면적의 비가 가장 큰 것은?,①?리조트 호텔,②?커머셜 호텔,③?클럽 하우스,④?레지덴셜 호텔,34.54536834,5.954995787
P0000021,T0000001,건축시공,0.473586316,"21. 벽두께 1.0B, 벽면적 30m2?쌓기에 소요되는 벽돌의 정미량은? (단, 벽돌은 표준형을 사용한다.)",①?3900매,②?4095매,③?4470매,④?4604매,139.3535863,4.994874328
P0000022,T0000001,건축시공,0.188855132,22. 석재의 일반적 성질에 관한 설명으로 옳지 않은 것은?,①?석재의 비중은 조암광물의 성질·비율·공극의 정도 등에 따라 달라진다.,②?석재의 강도에서 인장강도는 압축강도에 비해 매우 작다.,③?석재의 공극률이 클수록 흡수율이 크고 동결융해저항성은 떨어진다.,④?석재의 강도는 조성결정형이 클수록 크다.,120.7193822,39.44643587
P0000023,T0000001,건축시공,0.336586942,23. Power shovel의 1시간당 추정 굴착 작업량을 다음 조건에 따라 구하면?,①?67.2 m3/h,②?74.7 m3/h,③?82.2 m3/h,④?89.6 m3/h,57.21198551,4.916330593
P0000024,T0000001,건축시공,0.555972317,24. 도장작업 시 주의사항으로 옳지 않은 것은?,①?도료의 적부를 검토하여 양질의 도료를 선택한다.,②?도료량을 표준량보다 두껍게 바르는 것이 좋다.,③?저온 다습 시에는 작업을 피한다.,④?피막은 각층마다 충분히 건조 경화한 후 다음 층을 바른다.,87.80782199,25.005613
P0000025,T0000001,건축시공,0.817051718,"25. 콘크리트의 내화, 내열성에 관한 설명으로 옳지 않는 것은?","①?콘크리트의 내화, 내열성은 사용한 골재의 품질에 크게 영향을 받는다.",②?콘크리트는 내화성이 우수해서 600℃ 정도의 화열을 장시간 받아도 압축강도는 거의 저하하지 않는다.,③?철근콘크리트 부재의 내화성을 높이기 위해서는 철근의 피복두께를 충분히 하면 좋다.,④?화재를 입은 콘크리트의 탄산화 속도는 그렇지 않은 것에 비하여 크다.,82.99454779,17.72477912
P0000026,T0000001,건축시공,0.951541319,26. 아스팔트 방수공사에서 아스팔트 프라이머를 사용하는 가장 중요한 이유는?,①?콘크리트 면의 습기 제거,②?방수층의 습기 침입 방지,③?콘크리트면과 아스팔트 방수층의 접착,④?콘크리트 밑바닥의 균열방지,50.05024966,13.94894917
P0000027,T0000001,건축시공,0.829313598,27. 콘크리트 배합에 직접적으로 영향을 주는 요소가 아닌 것은?,①?단위수량,②?물-결합재 비,③?철근의 품질,④?골재의 입도,135.6234753,38.33921356
P0000028,T0000001,건축시공,0.278543901,"28. 철근, 볼트 등 건축용 강재의 재료시험 항목에서 일반적으로 제외되는 항목은?",①?압축강도시험,②?인장강도시험,③?굽힘시험,④?연신율시험,126.4226653,10.74873383
P0000029,T0000001,건축시공,0.909091881,29. 발주자에 의한 현장관리로 볼 수 없는 것은?,①?착공신고,②?하도급계약,③?현장회의 운영,④?클레임 관리,52.73903049,5.76622653
P0000030,T0000001,건축시공,0.928992778,30. 어스앵커 공법에 관한 설명으로 옳지 않은 것은?,①?버팀대가 없어 굴착공간을 넓게 활용할 수 있다.,②?인접한 구조물의 기초나 매설물이 있는 경우 효과가 크다.,③?대형기계의 반입이 용이하다.,④?시공 후 검사가 어렵다.,98.17899829,17.24245001
